id,label,alt_tum,ust_tum,alt_baglam,ust_baglam,tumor_medyan,tumor_ust_asan_oran,label_name,fold,olcek_orani
1,1,0.0,2544.0,0.0,2549.1300000000047,1529.0,0.0002188662727073758,meningioma,5,0.9979875486930817
2,1,0.0,2644.0,0.0,2654.0,1467.0,0.0,meningioma,5,0.9962321024868124
3,1,0.0,2911.0,0.0,2920.8399999999965,1571.0,0.0,meningioma,5,0.9966311061201584
4,1,0.0,2986.2850000000035,0.0,2998.0,1637.0,0.0,meningioma,5,0.9960923949299545
5,1,0.0,2809.2850000000035,0.0,2825.0,1051.5,0.0,meningioma,5,0.9944371681415941
6,1,0.0,2629.2850000000035,0.0,2634.179999999993,1826.0,0.0,meningioma,3,0.9981417367074423
7,1,0.0,2708.0,0.0,2709.0,1805.0,0.000423728813559322,meningioma,3,0.9996308600959763
8,1,0.0,2750.0,0.0,2749.0,1817.0,0.008017817371937639,meningioma,3,1.000363768643143
9,1,0.0,2059.2850000000035,0.0,2062.0,839.0,0.0,meningioma,4,0.9986833171677999
10,1,0.0,2027.2850000000035,0.0,2030.0,1573.0,0.0,meningioma,4,0.9986625615763564
11,1,0.0,1986.0,0.0,1991.0,1653.0,0.0,meningioma,4,0.9974886991461577
12,1,0.0,1835.0,0.0,1838.0,1547.0,0.0011814124442110791,meningioma,4,0.9983677910772579
13,1,0.0,1628.0,0.0,1628.0,1385.0,0.00625,meningioma,4,1.0
14,1,0.0,1510.0,0.0,1513.0,1227.0,0.0,meningioma,4,0.9980171844018506
15,1,0.0,1347.0,0.0,1348.0,1050.5,0.002718734552644587,meningioma,4,0.9992581602373887
16,1,0.0,1820.0,0.0,1820.0,1534.5,0.0029239766081871343,meningioma,4,1.0
17,1,0.0,1806.2850000000035,0.0,1807.0,1339.0,0.0,meningioma,4,0.9996043165467645
18,1,0.0,1784.0,0.0,1786.0,1501.0,0.0,meningioma,4,0.9988801791713325
19,1,0.0,1763.0,0.0,1764.0,874.0,0.0,meningioma,4,0.9994331065759637
20,1,0.0,3026.0,0.0,3034.0,1629.0,0.0,meningioma,5,0.997363216875412
21,1,0.0,3025.0,0.0,3033.0,1721.0,0.0,meningioma,5,0.9973623475107155
22,1,0.0,2905.2850000000035,0.0,2915.0,1660.0,0.0,meningioma,5,0.9966672384219566
23,1,0.0,2703.2850000000035,0.0,2712.670000000013,1598.0,0.0,meningioma,5,0.9965403089944559
24,1,0.0,3821.2850000000035,0.0,3827.0,2613.5,0.0,meningioma,1,0.9985066631826505
25,1,0.0,3953.2850000000035,0.0,3958.2850000000035,2576.0,0.0,meningioma,1,0.9987368266812521
26,1,0.0,2978.0,0.0,2979.0,1759.0,0.0,meningioma,3,0.9996643168848607
27,1,0.0,2131.0,0.0,2132.0,1219.0,0.0,meningioma,1,0.9995309568480301
28,1,0.0,2768.0,0.0,2770.0,1924.0,0.0,meningioma,5,0.9992779783393502
29,1,0.0,2890.0,0.0,2894.0,2021.0,0.0,meningioma,5,0.9986178299930891
30,1,0.0,3008.0,0.0,3013.0,2013.0,0.0,meningioma,5,0.9983405243942914
31,1,0.0,3117.0,0.0,3122.0,2151.5,0.0,meningioma,5,0.9983984625240231
32,1,0.0,3280.0,0.0,3276.0,2498.0,0.012478336221837088,meningioma,2,1.0012210012210012
33,1,0.0,3350.0,0.0,3352.0,2218.0,0.0,meningioma,2,0.9994033412887828
34,1,0.0,2082.0,0.0,2082.0,957.0,0.0,meningioma,1,1.0
